职位名称,详细链接,公司名称,工作地点,薪资,发布时间,职位信息
Python开发工程师,https://jobs.51job.com/beijing/120325115.html?s=01&t=0,文思海辉技术有限公司Pactera Tec...,北京,1-1.5万/月,03-26,"职位描述：
1.负责某车联网在线服务RESTFUL API开发工作；
2.负责某车联网业务web系统开发。
职位要求：
学历要求:本科及以上
岗位要求：
1.具备至少5年以上开发经验，熟悉Golang和Python，参与过完整并上线的多个项目案例；
2.有Golang和Python Web项目开发经验；
3.熟练运用MySql，具有MySQL索引优化、查询优化经验；
4.熟练掌握缓存知识，熟悉redis或memcache；
5.具有扎实的HTML、CSS、JAVASCRIPT基础； 熟练使用nginx，uwsgi部署应用；
6.熟练使用Linux命令进行问题分析，快速定位问题；
7.熟练使用版本控制管理工具git；
8.有良好的代码习惯，结构清晰，命名规范，代码冗余率低；
9.具备较强的学习钻研能力和主动性，逻辑性强具有快速解决问题的能力。
职能类别：
软件工程师
微信分享"
Python高级开发工程师,https://jobs.51job.com/beijing-hdq/94990357.html?s=01&t=0,北京棣南新宇科技有限公司,北京-海淀区,1.5-2万/月,03-26,"职责：
开发微服务平台系统。

要求：
1. 正规大学本科以上学历。
2. 3年及以上Python开发经验，精通Python开发。
3. 精通Django框架，有实际应用项目经验。
4. 熟悉HTML5，Javascript，Json，熟悉Mysql数据库，熟练使用SQL。
5. 有websocket server开发经验者优先。
6. 有Redis开发、部署经验者优先。
7. 了解HTTP协议，微服务，以及Restful API。
8. 熟悉云服务平台（google，ali），了解服务器的部署和监控，了解负载平衡。
9. 了解敏捷开发，熟悉软件设计模式。
职能类别：
软件工程师高级软件工程师
关键字：
PythonDjangoHTML5JavascriptJsonMysqlSQLHTTPRestfulAPI
微信分享"
软件测试工程师（C++、java、python）,https://jobs.51job.com/beijing/113363548.html?s=01&t=0,北京天行汇通信息技术有限公司,北京,1-2万/月,03-26,"职位描述：
1.根据项目说明、设计文档、使用说明书等，做好测试前的准备工作，保证产品测试工作的计划性与规范性；
2.按照测试流程、计划以及对产品特性的把握，编写测试案例，确保测试目的的达成；
3.根据测试计划及测试案例，执行测试，确保在软件发布前基本排除其缺陷；
4.根据测试结果，与开发部门等反复沟通测试情况，修正测试中发现的缺陷，完善软件性能；
5.整理测试文档，编写测试总结；
6.完成测试相关工具的开发。

任职资格：
1.学历要求：
-毕业于211或985院校、统招本科及以上学历。
2.能力要求：
-熟悉java、C/C++、Python其中一种语言，具备软件工程理论知识，精通软件测试理论及测试方法；
-能够熟练书写测试脚本、测试用例，熟练使用各种测试工具；
-熟悉Junit/gtest/unittest其中一种框架。
3.优先考虑：
-有团队管理经验者优先。
职能类别：
软件测试工程师系统测试
微信分享"
Python/Java Software Engineer,https://jobs.51job.com/beijing-cyq/115035415.html?s=01&t=0,北京莱博智环球科技有限公司,北京-朝阳区,1.4-1.6万/月,03-26,"What You'll Do 
You will work with our software team to develop and deliver an unprecedented end-to-end localization automation solution that supports our cloud and on premises software products in up to multi languages spoken around the world. This is an ideal opportunity for someone with strong technical skills and is passionate about cultures and languages. Your responsibility will include: 
Establish operational and technical procedures, develop tools and integration solutions to automate and streamline internal workflow and processes
Perform day to day localization software engineering work for software user interface and documentation
Create and maintain high quality language packs in various languages for the collaboration products, both on premise and cloud based
Troubleshoot, resolve, and document localization issues and customer cases 
          Who you will work with
You've got experience creating automation tools and solutions for software and web-based applications. You will work with a group of professionals delivering culturally appropriate, high quality localized product software and documentations. You have an unique opportunity to join this highly empowered collaborative team.
  Who You are
You are a motivated self-starter who is highly results driven, love what you do, and strive to achieve engineering excellence and take initiative in your ongoing self-development. Inspire teamwork and collaboration.
   Our minimum requirements for this role:
  Bachelor's degree or Masters preferably in Computer Science or other related engineering discipline.
2 years of fully engaged Python software engineering, development, and testing, in a scrum or paired programming environments
2 years of experience in Java development, HTML, CSS, and JavaScript
Working experience with CI/CD systems Git, GitHub, Jenkins
Ability to learn and adapt to new, complex development environments with deep dive analytical skills and quantitative problem-solving ability
            Our desired requirements for this role:
Localization engineering experience preferred. Experience in enterprise applications
Working knowledge of cloud platforms (such as AWS) and SQL
Experience in Translation Memory Management Systems (XTM Cloud or WorldServer) or Computer Aided Translations tools (Passolo or Trados) 
Self-starter with demonstrated ability to learn quickly, take initiative, and be accountable for results and deadlines
Flexibility and creativity in planning and problem solving throughout the product life cycle, from high level conceptual design to detailed implementation and testing tasks
Able to communicate and collaborate effectively with team members of varied work styles
Understanding for diverse cultural, political and religious environments and be able to work successfully in those environments. Maintaining a sense of humor in stressful situations

职能类别：
软件工程师
关键字：
PythonJava
微信分享"
Python工程师,https://jobs.51job.com/beijing/115265485.html?s=01&t=0,奇虎360科技有限公司,北京,2.5-3万/月,03-26,"岗位描述：

职位描述：
1、 负责信息安全系统服务端设计与开发；
2、 与前端进行联调；
3、 现有系统的维护，优化。

任职要求

职位要求：
1、 本科以上学历计算机相关专业，如能力突出或项目经验丰富可放宽要求；
2、 熟悉Linux开发环境；
3、 熟练掌握Python；
4、 良好的算法基础；
5、 熟悉常用数据库使用和网络基础；
思路清晰，有独立思考解决问题的能力；
良好的团队合作精神，共享精神，对工作具有责任心，勤奋好学。
能力加分：
1、 有信息安全背景优先；
2、 有团队管理经验优先；
3、 有机器学习经验背景优先。
职能类别：
高级软件工程师
微信分享"
"Software Engineer - Python, C++（121763）",https://jobs.51job.com/beijing/115694701.html?s=01&t=0,西门子（中国）有限公司Siemens L...,北京,,03-26,"提醒：
请务必通过西门子专属申请链接（如下）申请该职位，您需要登录西门子专属招聘系统后方可提交申请，未注册用户需先注册。https://ars2.equest.com/?response_id=341ed18ec81f713167825859c0463ce2

Job Description We are looking for a design application lead engineer for cutting edge design applications development for Gas Turbine Engineering. This position provides an exciting opportunity to work in a fast paced, dynamic, product development environment to develop design applications for gas turbine components at Siemens Gas Turbine R&D Hub in Beijing. What are my responsibilities? • Development of gas turbine system and component design tools including all phases of the development life cycle (i.e., functional specifications, implementation, testing, and release) Software requirement analysis and clarification with customers, break down software requirements into functional specification and design specification, concept design and detail designLeading developing new design applications and upgrades in the interdisciplinary teams. Ensure software coding quality according to standards and agile development process.Software implementation as well as technical documentation, and customer training. Trouble shooting on complex solutions and technical difficulties during project implementationCustomer-oriented software solutions and products marketing, keeping close interaction with customer to do project planning, project management and project coordinationWhat do I need to qualify for this job?· Master or above in Software Engineering, Mechanics/Mechanical Engineering, or Aerospace Engineering· Over 3 years of experience with a programming language (e.g., Python, C++) and Linux a plus Over 2 years of experience in system requirement analysis, architecture design and optimization are required· Experience of leading small software development teams is desirable where User Experience, front- and back-end design and implementation were performed· Advanced knowledge of computational method with proven expertise in CAD and/or CAE simulation.· Understanding of engineering design process (e.g., gas turbine, aircraft, or other complex systems)· Design/analysis experience with components for turbo-machinery applications or similar applications is a plus.· Demonstrated detail-oriented and innovative thinking mindset· Ability to communicate effectively with external customers· Must have exceptional inter-personal skills and enjoy working with colleagues from different organizations and cultural background· Fluent in English and Chinese.
职能类别：
软件工程师
微信分享"
Python开发工程师,https://jobs.51job.com/tangshan/119718166.html?s=01&t=0,唐山千家网络科技有限公司,异地招聘,0.7-1.5万/月,03-26,"职位：Python软件工程师  SE-L7-0810

薪资待遇：6.5千-1.5万

福利待遇：    
工资稳定且有良好广阔的晋升空间，公司拥有完善的晋升体制与培训体系，所有中、高层管理人员均由基层培养；办公环境宽松活泼，非常适合年轻人的进步和成长。正式员工可享受五险一金。    

职业规划：    
程序员→高级程序员→软件工程师→架构师/系统分析师→技术总监→首席技术官（CTO）；    
程序员→高级程序员→软件工程师→项目经理→开发部经理→公司高管；    
程序员→高级程序员→软件工程师→需求工程师→售前工程师→运营经理→公司高管；    

岗位职责：    
1、遵守编码规范和操作流程，负责程序编写和单元测试。    
2、具备清晰的逻辑思维，配合前端编写后台服务。    
3、简单的业务讲解，指导初级程序员，分享开发经验与技能。    

任职要求：    
1、大专及以上学历，3年以上开发经验。    
2、熟悉Python编程语言；熟练使用django和Flask；至少掌握两种开发语言。    
3、至少熟悉一种数据库，能够熟练编写SQL脚本。    
4、面向对象的编程思想能合理运用在项目中。    

加分项：    
1、熟悉gitlab持续集成，交付流程，会编写CI/CD脚本    
2、熟悉Git工作流    
3、有自己独立作品    


联系电话：刘经理18631512871
职能类别：
软件工程师
微信分享"
python开发,https://jobs.51job.com/beijing-cyq/117622446.html?s=01&t=0,深圳市若昕科技有限公司,北京-朝阳区,2-3万/月,03-26,"工作职责：
      1. 负责公司devops平台的研发。
      2. 负责公司监控平台二次研发工作。
      3. 负责devops同k8s对接。
      职位要求：
      1. 熟悉python + django 框架。
      2. 熟悉vue， bootstrap, jquery，ajax等前端框架。
      3. 实施过devops平台 以及cmdb数据库的设计。
      4. 能够基于各种python开源框架做二次开发。
      5. 有reset api设计经验。
      6. 有k8s 运维经验优先。  
职能类别：
高级软件工程师软件工程师
关键字：
python开发
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-hdq/119024346.html?s=01&t=0,北京聚源锐思数据科技有限公司,北京-海淀区,0.8-1万/月,03-26,"（一）岗位描述：
1、负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析
2、负责信息抽取、数据清洗等研发和优化工作
3、负责抓取数据的深度提取和挖掘
4、参与爬虫核心算法的策略优化研究，提升网页抓取的效率和质量。
（二）任职要求：
1、熟悉linux平台开发，精通Python/Java两种编程语言中的至少一种
2、精通网页抓取原理及技术，精通正则表达式，从结构化的和非结构化的数据中获取信息
3、熟悉Mysql，有过数据库调优和海量数据存储经验优先
4、具有搜索相关技术研发经验者优先
职能类别：
软件工程师
微信分享"
Python开发工程师,https://jobs.51job.com/beijing/118631099.html?s=01&t=0,深圳市法本信息技术有限公司上海分...,北京,1.5-2.2万/月,03-26,"注：1,3年以上经验  2，高级或者资深级别3,***可以带团队4，学历学信网可查5，全栈***6，上班地点顺义区中航信大楼

1,三年以上开发经验
2,精通Python及Web开发，至少精通一项python web框架比如Django；有实际web业务应用开发经验
3,熟练掌握mysql，熟悉redis及消息队列等中间件
理解分布式服务概念，具有中间件使用经验，有较复杂的业务场景实现经验
4,有互联网公司开发经验，熟悉DevOps工具链和生态系统，具备DevOps领域的架构设计与实践经验者优先
5,熟悉java/reactJs/docker者优先
职能类别：
软件工程师
关键字：
dockerDjango
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-hdq/118654749.html?s=01&t=0,北京寄云鼎城科技有限公司,北京-海淀区,1.5-2万/月,03-26,"职责：
1、负责云平台服务端模块的开发；
2、对新技术和方案进行调研评估和引进。


要求:
1、精通Python语言，熟练使用Python标准库模块和第三方模块；
2、熟悉高级消息管理协议，如RabbitMQ、Kafka；
3、熟练使用Linux系统，熟悉各种Linux命令的使用，能够在Linux环境下进行开发工作，对虚拟化技术有一定的了解；
4、了解开源项目，有OpenStack，CloudStack开发经验优先。
5、熟悉运维流程，熟悉自动化运维配置管理（Saltstack、Ansible等）优先。
职能类别：
软件工程师
微信分享"
Python算法研发工程师一名,https://jobs.51job.com/beijing-hdq/120378329.html?s=01&t=0,北京立方天地科技发展有限责任公司...,北京-海淀区,0.6-1.5万/月,03-26,"1、技术人员职位，需按上级领导指示定期完成量化的工作要求；
2、能够独立处理和解决所负责的任务；
3、负责数据维护、统计分析、策略开发及代码编写；
4、维护程序使之保持可用性和稳定性。

职位要求 ：
1、理工科本科及以上学历，具有优秀的研究能力和编程实现能力；
2、熟练掌握Python，有长期使用Python进行数据处理的经验；
3、有较强的数据分析和统计能力，有时序信号分析经验者优先，会使用机器学习者优先；
4、做事严谨踏实，责任心强，有良好的团队合作精神和沟通协调能力。
5、数学、计算机、金融等相关专业学习背景者优先考虑。

北京立方天地科技成立于2002年，坐落于北京市海淀区北三环，是国内PIV系统生产商，业务范围涵盖了PIV技术相关的设备生产、销售、使用、维护到客户订制方案的解决。是一支具有高学历高素质的研发团队，保证用户可以不断拥有采用新型的PIV技术开发所得各种产品，由于业务扩大现招聘Python算法研发工程师一名以及流体力学工程师一名，欢迎有识之士加入我们！

福利待遇：五险一金、年终奖金、绩效奖金，***。

职能类别：
算法工程师Python开发工程师
关键字：
Python算法工程师研发工程师数据处理数据分析
微信分享"
python开发,https://jobs.51job.com/beijing-cyq/117623562.html?s=01&t=0,上海雍米计算机科技有限公司,北京-朝阳区,2-3万/月,03-26,"工作职责：
      1. 负责公司devops平台的研发。
      2. 负责公司监控平台二次研发工作。
      3. 负责devops同k8s对接。
      职位要求：
      1. 熟悉python + django 框架。
      2. 熟悉vue， bootstrap, jquery，ajax等前端框架。
      3. 实施过devops平台 以及cmdb数据库的设计。
      4. 能够基于各种python开源框架做二次开发。
      5. 有reset api设计经验。
      6. 有k8s 运维经验优先。  
职能类别：
高级软件工程师软件工程师
关键字：
python开发
微信分享"
Python开发工程师,https://jobs.51job.com/beijing/120817366.html?s=01&t=0,北京安德医智科技有限公司,北京,1-1.8万/月,03-26,"python开发工程师
将会参与AI引擎开发团队，负责AI的集成开发工作。
1，熟练掌握Python编程语言，并具备一定的前端开发基础；
2，熟练掌握linux使用技能；
3，熟练掌握sql脚本，熟悉postgresql数据库的优先；
4，熟悉docker的生态环境；
5，熟练git等代码管理工具；
6，熟悉医学图像、dicom协议的优先；
职能类别：
Python开发工程师
微信分享"
高级测试-python,https://jobs.51job.com/beijing-hdq/119947861.html?s=01&t=0,广联达,北京-海淀区,1.5-2万/月,03-26,"岗位职责：
1、参与项目的全流程测试，根据计划制定测试用例并实施，撰写测试报告，及时发现并汇报问题，跟踪全程并评估风险，保证项目质量;
2、参与完成产品的接口测试、集成测试、系统测试及产品性能和其他方面测试;
3、系统测试环境搭建及维护工作。

任职要求：
1. 精通测试分析及用例设计方法，精通测试思想和常规测试流程，能独立制定测试策略、搭建测试环境、编写测试计划、测试报告等；
2. 精通B/S产品测试、端产品测试，有能力规划端到端的自动化测试，对测试分层有实践经验和规划能力；
3.本科及以上学历，沟通能力强，学习能力强；
4.参与过ToB大型项目的测试设计、使用python自动化测试过程者优先；
职能类别：
软件测试工程师
关键字：
python自动化测试
微信分享"
Python工程师,https://jobs.51job.com/beijing-cyq/120488947.html?s=01&t=0,医药魔方,北京-朝阳区,1-2万/月,03-26,"1、负责文本分类、语义理解、情感分析等NLP任务的研发工作；
2、负责NLP算法系统的开发和优化。
岗位要求：
    1、国内外知名学校的硕士研究生及以上学历；具有计算机、电子、数学等相关专业背景   
2、具备良好的编码能力，数据结构和算法功底；   
3、熟悉Linux开发环境，熟练掌握Python等编程语言；   
4、熟悉restful风格接口规范   
5、熟悉NLP方向的理论及常用工具，有深度学习相关NLP项目经验的优先


职能类别：
Python开发工程师软件工程师
关键字：
python软件开发开发工程师
微信分享"
Python研发工程师,https://jobs.51job.com/beijing/119923751.html?s=01&t=0,北京利和制药有限公司,北京,2-4万/月,03-26,"一、岗位职责:
1. 负责自动化运维工具开发，搭建自动化运维平台，提高整体运维效率；
2. 参与自动化操作系统的软件产品设计开发任务;
3. 负责自动化操作工具的开发和优化；
4. 提供自动化操作工具的自动化部署、监控和升级；
5. 能够解决问题，支持业务开发人员使用操作工具并持续优化。

二、任职要求:
1. 计算机及相关专业本科及以上学历，2年以上Python开发经验；
2..精通Python语言，熟悉Python多进程应用开发，熟悉django等开发框架； 
3、熟悉常用的设计模式；熟悉CMDB、监控、CI/CD实现等相关开源技术; 熟悉Saltstack/Puppet/Ansible等开源自动配置/管理工具;
4、必须熟悉linux开发环境，熟悉常用运维工具和中间件； 熟练使用Mysql、Posgresql，熟悉Nosql数据库如hbase,Redi,Mongodb等；
5、有爬虫，后端服务，大数据，算法相关经验者优先考虑;
6.逻辑思维清晰，善于团队合作与管理，对新技术有强烈的探索欲望，责任心强，能够承受工作压力，有强烈的责任心;
7.有敏捷开发经验优先;
8.有健康医疗、私有云开发、云应用市场、跨境电子商务、电子口岸等相关产品经验优先;


职能类别：
高级软件工程师Python开发工程师
关键字：
python软件工程师
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-cyq/114166286.html?s=01&t=0,北京三六九数动科技有限公司,北京-朝阳区,2-2.5万/月,03-26,"岗位职责：
1. 负责服务器端后台设计、功能开发及维护；
2. 参与技术方案讨论和技术调研；
3. 负责相关工具开发和相关文档的编写；
4. 负责服务器性能的优化，保证服务端稳定安全的运行；
5.产品上线后，保障运营平台的稳定，解决相关技术问题
任职资格：
1.计算机、软件开发、通信、电子类相关专业全日制本科及以上学历,5年以上Python开发工作经验；
2.熟练使用python编程；了解Django、tornado、 Flask等常用的Web框架开发；有一定的Git、VIM使用经验；
3. 熟练使用Linux系统，对算法、数据结构有一定了解；
4.熟练掌握MySQL/Memcached/ElasticSerch 等常用存储技术（数据库系统）；
5. 热爱工作, 有良好的学习能力, 能够接受新鲜事务, 对新技术及新模块可以快速掌握运用；
6. 良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力。
职能类别：
软件工程师
微信分享"
